Version,"AdRotate Professional",5.26.2
id,advert_name,bannercode,imagetype,image_url,enable_stats,show_everyone,show_desktop,show_mobile,show_tablet,show_ios,show_android,weight,autodelete,autodisable,budget,click_rate,impression_rate,state_required,geo_cities,geo_states,geo_countries,schedule_start,schedule_end
,300X250-12-ParatusBiggerThanYouThink300x250-575571-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.13390.575571&amp;trid=1410543.172294&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/13390/575571/132893/160597/image.jpg&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/13390/575571/132893/160597/image.jpg,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},"a:23:{i:0;s:2:""US"";i:1;s:2:""CA"";i:2;s:2:""MX"";i:3;s:2:""GT"";i:4;s:2:""BZ"";i:5;s:2:""HN"";i:6;s:2:""SV"";i:7;s:2:""NI"";i:8;s:2:""CR"";i:9;s:2:""PA"";i:10;s:2:""CO"";i:11;s:2:""VE"";i:12;s:2:""EC"";i:13;s:2:""PE"";i:14;s:2:""BR"";i:15;s:2:""BO"";i:16;s:2:""PY"";i:17;s:2:""UY"";i:18;s:2:""AR"";i:19;s:2:""CL"";i:20;s:2:""DO"";i:21;s:2:""JM"";i:22;s:2:""TT"";}",1478044800,2145830400
,300X250-12-UltimateBugOutBag300x250-861645-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.13390.861645&amp;trid=1410543.172294&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/13390/861645/132893/160597/image.jpg&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/13390/861645/132893/160597/image.jpg,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},"a:23:{i:0;s:2:""US"";i:1;s:2:""CA"";i:2;s:2:""MX"";i:3;s:2:""GT"";i:4;s:2:""BZ"";i:5;s:2:""HN"";i:6;s:2:""SV"";i:7;s:2:""NI"";i:8;s:2:""CR"";i:9;s:2:""PA"";i:10;s:2:""CO"";i:11;s:2:""VE"";i:12;s:2:""EC"";i:13;s:2:""PE"";i:14;s:2:""BR"";i:15;s:2:""BO"";i:16;s:2:""PY"";i:17;s:2:""UY"";i:18;s:2:""AR"";i:19;s:2:""CL"";i:20;s:2:""DO"";i:21;s:2:""JM"";i:22;s:2:""TT"";}",1588118400,2145830400
,300X250-12-VeloxTacticalQuickActionBackpack300x250-861841-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.13390.861841&amp;trid=1410543.172294&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/13390/861841/132893/160597/image.jpg&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/13390/861841/132893/160597/image.jpg,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},"a:23:{i:0;s:2:""US"";i:1;s:2:""CA"";i:2;s:2:""MX"";i:3;s:2:""GT"";i:4;s:2:""BZ"";i:5;s:2:""HN"";i:6;s:2:""SV"";i:7;s:2:""NI"";i:8;s:2:""CR"";i:9;s:2:""PA"";i:10;s:2:""CO"";i:11;s:2:""VE"";i:12;s:2:""EC"";i:13;s:2:""PE"";i:14;s:2:""BR"";i:15;s:2:""BO"";i:16;s:2:""PY"";i:17;s:2:""UY"";i:18;s:2:""AR"";i:19;s:2:""CL"";i:20;s:2:""DO"";i:21;s:2:""JM"";i:22;s:2:""TT"";}",1588118400,2145830400
,300X250-12-TheUltimateBugOutBag-854353-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.13390.854353&amp;trid=1410543.172294&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/13390/854353/132893/160597/image.jpg&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/13390/854353/132893/160597/image.jpg,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},"a:23:{i:0;s:2:""US"";i:1;s:2:""CA"";i:2;s:2:""MX"";i:3;s:2:""GT"";i:4;s:2:""BZ"";i:5;s:2:""HN"";i:6;s:2:""SV"";i:7;s:2:""NI"";i:8;s:2:""CR"";i:9;s:2:""PA"";i:10;s:2:""CO"";i:11;s:2:""VE"";i:12;s:2:""EC"";i:13;s:2:""PE"";i:14;s:2:""BR"";i:15;s:2:""BO"";i:16;s:2:""PY"";i:17;s:2:""UY"";i:18;s:2:""AR"";i:19;s:2:""CL"";i:20;s:2:""DO"";i:21;s:2:""JM"";i:22;s:2:""TT"";}",1585008000,2145830400
,300X250-14-BikeGearandApparel-723173-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.10240.723173&amp;trid=1410543.177588&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/10240/723173/132893/160597/image.jpg&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/10240/723173/132893/160597/image.jpg,Y,Y,Y,Y,Y,Y,Y,8,Y,N,0,0,0,N,a:0:{},a:0:{},"a:23:{i:0;s:2:""US"";i:1;s:2:""CA"";i:2;s:2:""MX"";i:3;s:2:""GT"";i:4;s:2:""BZ"";i:5;s:2:""HN"";i:6;s:2:""SV"";i:7;s:2:""NI"";i:8;s:2:""CR"";i:9;s:2:""PA"";i:10;s:2:""CO"";i:11;s:2:""VE"";i:12;s:2:""EC"";i:13;s:2:""PE"";i:14;s:2:""BR"";i:15;s:2:""BO"";i:16;s:2:""PY"";i:17;s:2:""UY"";i:18;s:2:""AR"";i:19;s:2:""CL"";i:20;s:2:""DO"";i:21;s:2:""JM"";i:22;s:2:""TT"";}",1528761600,2145830400
,300X250-14-AlsSportingGoodsBrandPromotion-720481-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156099.10240.720481&amp;trid=1410543.177588&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;http://www.avantlink.com/gbi/10240/720481/132893/160597/image.jpg&quot; /&gt;&lt;/a&gt;",,http://www.avantlink.com/gbi/10240/720481/132893/160597/image.jpg,Y,Y,Y,Y,Y,Y,Y,8,Y,N,0,0,0,N,a:0:{},a:0:{},"a:23:{i:0;s:2:""US"";i:1;s:2:""CA"";i:2;s:2:""MX"";i:3;s:2:""GT"";i:4;s:2:""BZ"";i:5;s:2:""HN"";i:6;s:2:""SV"";i:7;s:2:""NI"";i:8;s:2:""CR"";i:9;s:2:""PA"";i:10;s:2:""CO"";i:11;s:2:""VE"";i:12;s:2:""EC"";i:13;s:2:""PE"";i:14;s:2:""BR"";i:15;s:2:""BO"";i:16;s:2:""PY"";i:17;s:2:""UY"";i:18;s:2:""AR"";i:19;s:2:""CL"";i:20;s:2:""DO"";i:21;s:2:""JM"";i:22;s:2:""TT"";}",1528156800,2145830400
,300X250-18-WalmartCanadaEvergreenBanners-2000000385-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156105.36751.2000000385&amp;trid=1410543.181581&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;https://ad.linksynergy.com/fs-bin/show?id=PPkX79/c*b0&amp;bids=1996283.385&amp;type=4&quot; /&gt;&lt;/a&gt;",,https://ad.linksynergy.com/fs-bin/show?id=PPkX79/c*b0&bids=1996283.385&type=4,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},"a:1:{i:0;s:2:""CA"";}",1748390400,1937692800
,300X250-18-WalmartCAEvergreenBanners-2000000376-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156105.36751.2000000376&amp;trid=1410543.181581&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;https://ad.linksynergy.com/fs-bin/show?id=PPkX79/c*b0&amp;bids=1996283.376&amp;type=4&quot; /&gt;&lt;/a&gt;",,https://ad.linksynergy.com/fs-bin/show?id=PPkX79/c*b0&bids=1996283.376&type=4,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},"a:1:{i:0;s:2:""CA"";}",1748390400,1937692800
,300X250-18-WalmartCanadaEvergreenBanners-2000000394-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156105.36751.2000000394&amp;trid=1410543.181581&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;https://ad.linksynergy.com/fs-bin/show?id=PPkX79/c*b0&amp;bids=1996283.394&amp;type=4&quot; /&gt;&lt;/a&gt;",,https://ad.linksynergy.com/fs-bin/show?id=PPkX79/c*b0&bids=1996283.394&type=4,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},"a:1:{i:0;s:2:""CA"";}",1748390400,1937692800
,300X250-18-WalmartCAEvergreenBanners-2000000367-General,"&lt;a rel=&quot;sponsored&quot; href=&quot;https://track.flexlinkspro.com/g.ashx?foid=156105.36751.2000000367&amp;trid=1410543.181581&amp;foc=11&amp;fot=9999&amp;fos=6&quot;&gt;&lt;img src=&quot;https://ad.linksynergy.com/fs-bin/show?id=PPkX79/c*b0&amp;bids=1996283.367&amp;type=4&quot; /&gt;&lt;/a&gt;",,https://ad.linksynergy.com/fs-bin/show?id=PPkX79/c*b0&bids=1996283.367&type=4,Y,Y,Y,Y,Y,Y,Y,2,Y,N,0,0,0,N,a:0:{},a:0:{},"a:1:{i:0;s:2:""CA"";}",1748390400,1937692800
